reclat,reclon,
-78.82499,42.95107,
-78.82480,42.95095,
-78.82470,42.95090,
-78.82429,42.95064,
-78.82419,42.95059,
-78.82410,42.95054,
-78.82356,42.95024,
-78.82350,42.95020,
-78.82343,42.95016,
-78.82301,42.94990,
-78.82278,42.94976,
-78.82266,42.94969,
-78.82256,42.94964,
-78.82245,42.94957,
-78.82233,42.94950,
-78.82223,42.94943,
-78.82195,42.94928,
-78.82240,42.95213,
-78.82244,42.95215,
-78.82247,42.95216,
-78.82251,42.95218,
-78.82249,42.95230,
-78.82316,42.95269,
-78.82140,42.94985,
-78.82136,42.94983,
-78.82128,42.95030,
-78.82142,42.95019,
-78.82156,42.95006,
-78.82159,42.95002,
-78.82163,42.94999,
-78.82148,42.95005,
-78.82124,42.95025,
